Date,Adj Close,Close,High,Low,Open,Volume
2022-10-06,932.3311157226562,965.0075073242188,976.2575073242188,961.8624877929688,967.10498046875,1340720
2022-10-07,933.33837890625,966.0499877929688,969.0,958.3800048828125,963.760009765625,792260
2022-10-10,923.582763671875,955.9525146484375,960.25,950.2474975585938,955.0,692380
2022-10-11,891.2605590820312,922.4974975585938,960.7324829101562,920.5125122070312,960.25,1098520
2022-10-12,904.5667114257812,936.27001953125,938.342529296875,922.4974975585938,927.0,774960
2022-10-13,906.4144897460938,938.1824951171875,946.08251953125,930.25,939.5,605540
2022-10-14,914.353759765625,946.4000244140625,950.6875,942.5,947.9425048828125,441300
2022-10-17,913.9744873046875,946.0075073242188,953.0,939.6099853515625,942.5,348500
2022-10-18,936.5676879882812,969.3925170898438,971.4525146484375,949.5,951.0,1070220
2022-10-19,953.5354614257812,986.9550170898438,992.4000244140625,962.7249755859375,969.3925170898438,2609600
2022-10-20,969.0903930664062,1003.0549926757812,1007.1849975585938,985.0,985.9500122070312,2257080
2022-10-21,980.3868408203125,1014.7474975585938,1017.5,999.125,1003.0549926757812,1143860
2022-10-24,1008.40966796875,1043.75244140625,1052.5,1017.5025024414062,1017.75,903960
2022-10-25,979.7806396484375,1014.1199951171875,1052.43994140625,1010.8499755859375,1040.0,1427060
2022-10-27,972.5756225585938,1006.6624755859375,1023.75,995.5,1023.4249877929688,2029480
2022-10-28,979.7830200195312,1014.1224975585938,1018.5974731445312,1002.5075073242188,1006.6624755859375,1298600
2022-10-31,989.5480346679688,1018.1699829101562,1023.5,1007.5,1014.1224975585938,1591100
2022-11-01,1000.5572509765625,1029.49755859375,1036.7425537109375,1018.5,1019.9774780273438,794120
2022-11-02,990.7119140625,1019.3674926757812,1035.0,1011.1300048828125,1029.5,866340
2022-11-03,992.4661865234375,1021.1724853515625,1023.75,1007.5025024414062,1011.14501953125,706560
2022-11-04,992.5560913085938,1021.2650146484375,1026.75,1015.2349853515625,1021.1724853515625,377460
2022-11-07,995.2261962890625,1024.012451171875,1036.0,1018.510009765625,1022.5750122070312,1354440
2022-11-09,987.4342041015625,1015.9949951171875,1042.1175537109375,1010.25,1030.7724609375,1044900
2022-11-10,980.4073486328125,1008.7650146484375,1020.0,1002.2474975585938,1014.97998046875,779820
2022-11-11,987.5604858398438,1016.125,1025.0,1010.0050048828125,1013.8099975585938,716740
2022-11-14,975.0572509765625,1003.260009765625,1019.6224975585938,994.635009765625,1016.1500244140625,969520
2022-11-15,974.5882568359375,1002.7775268554688,1009.2974853515625,992.5,1008.2000122070312,786820
2022-11-16,976.646240234375,1004.89501953125,1007.2125244140625,991.25,999.6074829101562,895520
2022-11-17,971.4514770507812,999.5499877929688,1006.9849853515625,994.1325073242188,1006.5,555640
2022-11-18,968.2490844726562,996.2550048828125,1002.2874755859375,989.0,999.75,733720
2022-11-21,960.308837890625,988.0850219726562,992.97998046875,983.280029296875,992.5999755859375,996880
2022-11-22,953.1071166992188,980.6749877929688,992.4650268554688,977.5025024414062,988.0850219726562,948440
2022-11-23,950.755126953125,978.2550048828125,990.6500244140625,975.5,985.0,1034440
2022-11-24,959.033203125,986.7725219726562,993.719970703125,975.04248046875,981.25,1193920
2022-11-25,949.0179443359375,976.467529296875,991.2000122070312,972.0,990.0,1157160
